cytoband	10q26.3	9p21.3	1p36.23	11p15.5	3q29	6q26	8q24.3	10q23.31	17q11.2	4q35.2	13q14.3	13q14.2	4q34.3	6p25.3	13q34	19q13.32	19q13.43	2q37.1	2q37.3	1q42.12	9p24.2	10p11.23	14q31.1	21q21.1	1p32.3	1q44	5q15	2q36.3	7p22.3	
						PACRG-AS3	SLA									SYMPK	KIR3DL1		LOC100286922	FMN2			PTPN21		MIR1273G	C1orf229	PJA2	HOXD12	NDUFA4	
						HGC6.3	SLC7A2									TEAD2	KIR3DL2		MIR1471	SMYD2			C14orf1		MIR1273F	OR2M1P	DDX46	HOXD13	NDUFA5	
						UST-AS1	SLC18A1									PPFIA3	KIR3DS1		MIR1244-1	COQ8A			WDHD1		MIR4421	OR11L1	SLC23A1	HPCAL1	NDUFB2	
						LOC100129518	SLC20A2									PLA2G4C	KLK1		BOK-AS1	GJC2			VASH1		MIR4422	OR2L8	EDIL3	AGFG1	NOS3	
						C6orf99	SNAI2									NAPA	KLK2		MIR1244-3	CAMK1G			ATG14		MIR4781	OR2AK2	COL4A3BP	DNAJB2	CNOT4	
						LOC100131532	SNTB1									SIGLEC5	LAIR1		MIR1244-2	SIPA1L2			ZBTB1		MIR4794	OR2L3	RAD50	HSPD1	NPY	
						AIRN	SPAG1									PGLYRP1	LAIR2		MIR3133	ZP4			SNW1		MIR4711	OR2M2	KIF20A	HSPE1	NPTX2	
						LOC100289495	SQLE									CYTH2	LDLR		MIR4269	RHOU			PCNX1		MIR5095	OR2T33	LHFPL2	FOXN2	NRCAM	
						MIR1913	STAR									ZNF235	LGALS4		AGAP1-IT1	GREM2			DAAM1		LINC00853	OR2M7	CWC27	HTR2B	NRF1	
						MIR1202	STC1									ZNF264	LGALS7		UBE2F-SCLY	NUCKS1			SAMD4A		AGBL4-IT1	OR2G6	CCNO	ID2	OCM2	
						MIR1273C	STK3									NCR1	LHB		MIR4777	ACBD3			TTLL5		FOXD3-AS1	OR2T2	NSA2	IDH1	OGDH	
						MIR3918	TACC1									NAPSA	LIG1		MIR2467	MARC1			RCOR1		NFIA-AS2	OR2T5	FST	SP110	ORC5	
						MIR3939	TAF2									KLK4	LIM2		MIR4440	ARV1			SYNE2		DAB1-AS1	OR14I1	POLR3G	IGFBP2	SERPINE1	
						MIR3692	TCEA1									ZNF432	LIPE		MIR4786	AIDA			PACS2		LINC01358	OR2T27	PLK2	IGFBP5	PAX4	
						SYNE1-AS1	TCEB1									DHX34	LRP3		MIR4441	JMJD4			ANGEL1		LOC101926944	OR2T35	IQGAP2	IHH	PCOLCE	
						KIF25-AS1	TERF1									SAE1	CYP4F3		MIR5001	C1orf116			PPP1R13B		LOC101926964	TRIM67	SEC24A	IL1A	PDE1C	
						LOC100507557	TG									ZNF256	BCAM		CAPN10-AS1	C1orf35			DICER1		ROR1-AS1	MAP1LC3C	BRD8	IL1B	PDGFA	
						CAHM	KLF10									LILRB2	LYL1		LINC01237	TTC13			ZFYVE26		LINC01398	BECN2	HNRNPA0	IL1R1	PDK4	
						MIR4466	TPD52									TOMM40	MAG		LOC101928111	PGBD5			TTC9		LOC101929721	OR2W5	SMA4	IL1RN	SLC26A4	
						MIR4644	TRHR									ZNF211	MAN2B1		LOC101928881	C1orf115			FLRT2		LOC101929935	OR13G1	SMA5	CXCR1	PEX1	
						RAET1E-AS1	TRPS1									TRAPPC2B	BORCS8-MEF2B		MIR6811	HHIPL2			PLEKHG3		MIR6068	DUSP5P1	ESM1	CXCR2	CDK14	
						RPS6KA2-AS1	TSTA3									ZNF234	RAB8A		LOC102723927	VASH2			SIPA1L1		MIR6500	C1orf145	KIF3A	CXCR2P1	PGAM2	
						SYNJ2-IT1	TTPA									ZNF274	MAP3K10		LINC01173	PCNX2			DCAF4		LINC01389	IBA57-AS1	ADAMTS6	INHA	ABCB1	
						RPS6KA2-IT1	UBE2V2									ZNF460	MYBPC2			WDR26			KIF26A		TTC39A-AS1	SNRPD2P2	RHOBTB3	INHBB	ABCB4	
						EZR-AS1	COL14A1									PPP1R13L	MYO9B			TRAF3IP3			TMEM251		TXNDC12-AS1	MT1HL1	ELL2	INPP1	PHKG1	
						LOC101928661	UQCRB									CD3EAP	CEACAM6			TRIM11			PLEK2		LOC105378732	RPS7P5	SV2C	INPP4A	PIK3CG	
						LOC101929122	VDAC3									RUVBL2	NDUFA3			NUAK2			TIMM9			LYPD8	FSTL4	INPP5D	PIP	
						PACRG-AS2	WRN									LILRB1	NDUFB7			RASSF5			TCL6			SNORA14B	MRPS27	ITGA6	PMS2P1	
						LOC101929297	YWHAZ									KDELR1	NFIX			MIXL1			MLH3			LINC01347	SEPT8	IRS1	PMS2P2	
						LOC101929420	ZNF7									LILRB5	NFKBIB			SPRTN			KCNH5			LINC01348	PPIP5K2	ITGA4	PMS2P4	
						LOC101929460	ZNF16									LILRB4	NKG7			FCAMR			FOXN3-AS2			BTNL10	ACSL6	ITGAV	PMS2P5	
						LINC01615	FZD3									KLK11	CNOT3			OBSCN			GPR132			LOC100130331	JADE2	ITGB6	PMS2P3	
						LOC101929504	TUSC3									LILRA1	NOTCH3			NTPCR			POMT2			RNA5S1	PPWD1	KCNF1	PMS2	
						LOC101929523	UBXN8									LILRB3	NOVA2			MLK4			COQ6			RNA5S2	OTP	KCNJ3	PODXL	
						MIR7161	KAT6A									LILRA2	NPAS1			LINC00467			FCF1			RNA5S3	SKIV2L2	KCNJ13	POLD2	
						MIR7641-2	PSCA									CLASRP	NPHS1			C1orf198			RDH11			RNA5S4	SSBP2	KCNK3	POLR2J	
						LOC102723831	FZD6									KPTN	NTF4			DISP1			SERPINA10			RNA5S5	BHMT2	KCNS3	PON1	
						LOC102724053	NSMAF									KLK8	NUCB1			SLC45A3			GLRX5			RNA5S6	TNFAIP8	KHK	PON2	
						LOC102724152	LY6D									PNKP	P2RY11			WNT3A			COX16			RNA5S7	PART1	KIF3C	PON3	
						LOC102724357	RGS20									U2AF2	PAFAH1B3			ANGEL2			DACT1			RNA5S9	LRRTM2	KIF5C	POR	
						LOC102724511	JRK									ATF5	PDE4A			HIST3H2A			ATP6V1D			RNA5S10	FAM169A	AFF3	PPIA	
						LOC105378047	TNKS									PPP6R1	PDE4C			LEMD1			EVL			RNA5S11	FBXL21	LCT	PPP1R3A	
						LOC105378052	EIF3H									CARD8	PEG3			SLC26A9			GSKIP			RNA5S12	KLHL3	LHCGR	PRKAR1B	
						LOC105378068	DGAT1									ZC3H4	PEPD			SNAP47			JKAMP			RNA5S13	SNORD63	LIMS1	PRKAR2B	
						LOC105378098	GPAA1									FBXO46	PIK3R2			CCSAP			CINP			RNA5S14	SNORA74A	LRP2	PRSS1	
						MEAT6	ADAM18									RPL13A	PIN1			LYPLAL1			DHRS7			RNA5S15	PKD2L2	LTBP1	PRSS2	
						LOC105378123	ADAM9									SYNGR4	PLAUR			DNAH14			ASB2			RNA5S16	UQCRQ	LY75	RELN	
						LOC105378127	ADAM7									LILRA4	FXYD1			C1orf131			SIX4			RNA5S17	AFF4	EPCAM	PSMA2	
						LOC105378137	RIPK2									ZIM2	FXYD3			SPATA17			ZFYVE1			LINC00582	DIMT1	MXD1	PSMC2	
						LOC105378146	TNFRSF10D									CBLC	POLD1			EDARADD			CPSF2			LGALS8-AS1	SLC27A6	MAL	PSPH	
						LUADT1	TNFRSF10C									NUP62	POLR2I			MRPL55			KCNK10			MIR1182	SNX24	MAP2	TAS2R38	
						SNORA98	TNFRSF10B									HSPBP1	POU2F2			HIST3H2BB			TMEM260			MIR1537	DMGDH	MAT2A	PTN	
							TNFRSF10A									PPP1R15A	PPP2R1A			TATDN3			FBXO34			LINC00184	TMED7	MATN3	PTPN12	
							FGF17									EML2	PPP5C			C1orf74			CDCA4			TSNAX-DISC1	ISOC1	MCM6	PTPRN2	
							GGH									KLK5	PRKACA			BROX			NRDE2			MIR3123	SAR1B	MDH1	PTPRZ1	
							WISP1									PRKD2	PRKCG			SLC35F3			ATG2B			MIR3124	IPO11	MEIS1	PURB	
							CPNE3									ZNF473	PKN1			LOC148696			UBR7			MIR3620	MZB1	MGAT5	RAC1	
							FOXH1									KLK13	PRKCSH			B3GALNT2			C14orf105			MIR3916	PAIP2	MPV17	RALA	
							CHRNA6									CCDC9	PRRG2			MFSD4A			EXD2			LINC01354	CDKL3	MYO1B	RARRES2	
							TRPA1									PRPF31	KLK7			PM20D1			VRTN			LINC01132	GCNT4	MSH2	RFC2	
							DOK2									IRF2BP1	KLK6			CNIH3			SYNJ2BP			CHRM3-AS2	FAM13B	MTIF2	RHEB	
							ASH2L									FGF21	KLK10			EXOC8			SLC39A9			ZNF670-ZNF695	FAM53C	MYCN	RNY1	
							MTMR7									SNORD35A	PSG1			LOC149373			MEG3			MIR4428	REEP2	MYL1	RNY3	
							CCNE2									SNORD34	PSG2			RNF187			FLVCR2			MIR4753	PRR16	MYO7B	RNY4	
							EBAG9									SNORD33	PSG3			SPATA45			GPATCH2L			MIR4454	COMMD10	NAB1	RNY5	
							MSC									SNORD32A	PSG4			FAM71A			PPP4R3A			MIR4666A	POLK	NCL	RP9	
							MFHAS1									ZNF285	PSG5			SDE2			BTBD7			MIR4677	CXXC5	NEB	RPA3	
							KCNB2									SIGLEC7	PSG6			CCDC185			AP5M1			MIR4671	RAPGEF6	NDUFA10	CCL24	
							RECQL4									BBC3	PSG7			IBA57			TDP1			MIR4427	ERAP1	NDUFB3	SFRP4	
							CYP7B1									DKKL1	PSG9			SLC41A1			ZNF839			MIR5096	KDM3B	NDUFS1	SHH	
							BAG4									SIGLEC9	PSG11			SYT14			SPATA7			MIR5008	PHAX	SEPT2	SLC4A2	
							ENTPD4									SIGLEC8	PSMC4			LEMD1-AS1			ACTR10			CHRM3-AS1	PELO	NEU2	SLC13A1	
							MTFR1									C5AR2	PSMD8			LOC284578			YLPM1			LOC101927478	DHX29	NEUROD1	SMARCD3	
							LRRC14									DHDH	PTGER1			LOC284581			KCNK13			LOC101927532	EPB41L4A-AS2	NFE2L2	SMO	
							EMC2									ZNF544	PTGIR			LIN9			CCDC177			LOC101927604	DDX4	NPAS2	FSCN1	
							RIMS2									UBE2S	PTPRH			RAB7B			C14orf132			LOC101927683	SGTB	NPHP1	SP4	
							ST18									SLC6A16	PVR			ZNF678			DDX24			LOC101927765	ARL15	NPPC	SPAM1	
							TOX									TFPT	NECTIN2			PRSS38			ADCK1			LOC101927787	ZCCHC10	NR4A2	SRI	
							MTSS1									STRN4	RAB3A			LINC01139			TMEM63C			LOC101927851	GIN1	ODC1	AKR1D1	
							PTDSS1									CCDC106	RAD23A			RD3			PELI2			LOC101928068	AGGF1	ORC2	SRPK2	
							PHYHIP									EPN1	RELB			IRF2BP2			RHOJ			LOC101928226	WDR41	ORC4	SSBP1	
							RB1CC1									GLTSCR2	UPF1			MIA3			GALNT16			MIR6742	LOC55338	OTX1	STX1A	
							ZNF623									GLTSCR1	RFX1			STUM			PLEKHH1			MIR7641-2	TRIM36	REG3A	SYPL1	
							KIAA0196									EHD2	RPL18			FAM89A			TRMT5			DISC1-IT1	RIOK2	PAX3	TAC1	
							HHLA1									KLK14	RPL18A			TMEM81			UNC79			SNORA100	DEPDC1B	PCBP1	TAF6	
							SORBS3									KLK12	RPL28			CAPN8			BEGAIN				BDP1	PDCD1	TBXAS1	
							TRIB1									SHANK1	MRPS12			COA6			PPP4R4				ERBIN	PDE1A	TFR2	
							RIDA									NOSIP	RPS5			C1orf140			ZNF410				FEM1C	PDE6D	TRIP6	
							NPM2									ZNF580	RPS9			FAM177B			NGB				C5orf15	PDK1	TWIST1	
							DLC1									HSD17B14	RPS11			ZNF847P			RBM25				CDC42SE2	PEX13	UBE2H	
							NDRG1									GP6	RPS16			MIR194-1			VIPAS39				TRPC7	VIT	UPP1	
							CPQ									VRK3	RPS19			MIR205			SMOC1				NLN	SERPINE2	VGF	
							SPAG11B									ZNF581	RRAS			MIR215			MOAP1				ZNF608	PIGF	VIPR2	
							LYPLA1									PTOV1	RTN2			MIR29B2			DIO3OS				SEMA6A	PLCL1	ZAN	
							NCOA2									PPP1R12C	RYR1			MIR29C			IRF2BPL				ARRDC3	PLEK	EIF4H	
							ARFGEF1									TRPM4	CLEC11A			C1orf186			MPP5				ZSWIM6	PLGLB2	CLIP2	
							COLEC10									ZNF586	SCN1B			TRIM67			INF2				ANKRA2	PLGLB1	LAT2	
							KHDRBS3									QPCTL	SEPW1			H3F3AP4			PCNX4				MCCC2	PMS1	WNT2	
							DCTN6									FAM83E	SLC1A5			GTF2IP20			GPR135				EPB41L4A	POLR2D	XRCC2	
							PNMA2									EPS8L1	SLC1A6			MIR135B			BCL11B				CENPK	POMC	YWHAG	
							ADAM28									RASIP1	SLC5A5			DUSP5P1			OTUB2				ERAP2	POU3F3	ZNF3	
							POP1									TMEM160	SLC8A2			SERTAD4-AS1			ZFYVE21				ARHGEF28	PPM1B	ZNF12	
							AP3M2									PIH1D1	SMARCA4			C1orf145			MEG8				SIL1	PPM1G	ZKSCAN1	
							COPS5									C19orf73	SNRNP70			IBA57-AS1			WDR25				FBXL17	PPP1CB	ZSCAN21	
							RBPMS									PNMAL1	SNRPA			MIR205HG			LINC00341				YTHDC2	PPP1R7	ZNF138	
							WWP1									TMEM143	SNRPD2			FLVCR1-AS1			ZC2HC1C				SLC30A5	PPP3R1	ZP3	
							STMN2									ZNF444	SPIB			LYPLAL1-AS1			C14orf169				CENPH	PRKCE	ZYX	
							PTP4A3									ZNF331	AURKC			SNRPD2P2			CLMN				GPBP1	EIF2AK2	AIMP2	
							ERLIN2									KLK15	SULT2B1			MT1HL1			CATSPERB				GRAMD3	PROC	MAFK	
							LZTS1									NLRP2	SULT2A1			RPS7P5			ZC3H14				PARP8	PSMD1	MTERF1	
							PROSC									ZNF416	SUPT5H			SNORA14B			RIN3				ANKRD55	PTH2R	SHFM1	
							RNF139									ZNF701	SYT5			SNORA36B			C14orf159				TXNDC15	PTMA	TFPI2	
							ZHX1									ZNF83	PRDX2			SNORA16B			BBOF1				MCTP1	PTPN4	ST7	
							PUF60									ZNF415	TGFB1			TGFB2-AS1			TMEM121				PTCD2	PTPRN	ARHGEF5	
							ZHX2									CABP5	ICAM5			FAM72A			SGPP1				ELOVL7	RAB1A	ZNF212	
							DENND3									SPHK2	TNNI3			LINC01348			AMN				TRAPPC13	RALB	TRRAP	
							XPO7									MEIS3	TNNT1			C1orf132			SLIRP				NUDT12	RANBP2	FZD1	
							TRIM35									CEACAM19	TPM4			BTNL10			DNAL1				ATG10	RBMS1	FZD9	
							ZC3H3									SLC17A7	TULP2			LOC100130331			RPS6KL1				SPATA9	REL	MAD1L1	
							EFR3A									NAT14	TYK2			RPL21P28			SYT16				TSSK1B	REG1A	ZNF282	
							RRS1									VN1R1	TYROBP			RNA5S1			IFI27L2				FAM172A	REG1B	CUL1	
							SULF1									RCN3	UBA52			RNA5S2			SETD3				ADGRV1	REG1CP	TPST1	
							RHOBTB2									ZNF304	NR1H2			RNA5S3			APOPT1				PCBD2	SNORD20	FKBP6	
							ARC									TTYH1	UQCRFS1			RNA5S4			HHIPL1				UTP15	RPE	CDK13	
							BOP1									PNMAL2	USF2			RNA5S5			GON7				ZCCHC9	RPL31	EIF3B	
							DDHD2									PRR12	VASP			RNA5S6			STON2				SLF1	RPL37A	DNAH11	
							KIF13B									ZNF471	XRCC1			RNA5S7			CIPC				ZBED3	RPS7	TRIM24	
							PSD3									USP29	ZFP36			RNA5S9			PAPLN				GFM2	RPS27A	TAX1BP1	
							ZFPM2									PLEKHA4	ZNF8			RNA5S10			FAM181A				MEGF10	RRM2	BUD31	
							HEY1									MARK4	ZNF14			RNA5S11			BTBD6				SPZ1	RTKN	SGCE	
							TRAM1									ZNF71	ZNF708			RNA5S12			EFCAB11				TSLP	SAG	SKAP2	
							LEPROTL1									SCAF1	ZNF17			RNA5S13			CHURC1				C5orf30	SCN1A	MGAM	
							SCRIB									CACNG8	ZNF20			RNA5S14			ELMSAN1				LYRM7	SCN2A	WASL	
							SPIDR									CACNG7	ZNF28			RNA5S15			LIN52				SLC25A46	SCN3A	PLOD3	
							SLC39A14									CACNG6	MZF1			RNA5S16			NEK9				CDKN2AIPNL	SCN7A	BAZ1B	
							LRRC6									ZNF350	ZNF43			RNA5S17			EXOC3L4				NDUFAF2	SCN9A	CLDN12	
							LY96									TSKS	ZNF45			LOC100287497			WDR20				MRPS36	SCTR	DGKI	
							SGK3									ZNF667	ZNF69			LINC00582			MAPK1IP1L				ATP6AP1L	CCL20	AP4M1	
							RAD54B									ELSPBP1	ZNF221			LGALS8-AS1			IFT43				PRDM6	SDC1	TBRG4	
							DCAF13									LIN7B	ZNF85			MIR1182			WDR89				FTMT	SRSF7	STK17A	
							RNF19A									HIF3A	ZNF90			MIR1537			L3HYPDH				FNIP1	SFTPB	CYTH3	
							ADGRA2									ZNF649	ZNF91			MIR548F3			AHNAK2				SNX18	SIX3	BCL7B	
							KIAA1429									ZSCAN18	ZNF99			MIR664A			TRMT61A				EPB41L4A-AS1	SLC4A3	ATP6V1F	
							LINC00588									TSEN34	ZNF222			LINC00184			TDRD9				MARCH3	SLC1A4	ASIC3	
							RGS22									TRAPPC6A	ZNF121			TSNAX-DISC1			ANKRD9				FCHO2	SLC3A1	PMPCB	
							FBXL6									MBOAT7	ZNF132			MIR320B2			AK7				RAB3C	SLC8A1	ATP5J2	
							PTTG3P									FKRP	ZNF134			MIR4260			IFI27L1				LYSMD3	SLC9A2	GTF2IRD1	
							FGF20									ZSCAN5A	ZNF135			MIR3122			C14orf79				LEAP2	SLC11A1	CREB5	
							RNU105C									LENG1	ZNF136			MIR3620			PLD4				SETD9	SLC20A1	PDIA4	
							SNORA72									LILRP2	ZNF137P			PROX1-AS1			ADSSL1				IL31RA	SNRPG	NFE2L3	
							SNORD54									LILRA6	ZNF146			TAF1A-AS1			SOCS4				EMB	SOS1	PHF14	
							OPLAH									ZNF329	ZNF154			ITPKB-IT1			NAA30				SLCO6A1	SOX11	UBE3C	
							PABPC1									TBC1D17	ZNF155			LINC01354			GPHB5				PRRC1	SP3	FAM131B	
							KCNV1									ZNF419	ZNF175			LINC01132			NOXRED1				JMY	SP100	SEMA3E	
							STAU2									GEMIN7	ZNF177			CHRM3-AS2			JDP2				ZNF474	SPAST	DOCK4	
							MTBP									ISOC2	ZNF180			MIR4428			ISCA2				POU5F2	SPP2	HDAC9	
							DKK4									MYH14	ZNF208			MIR4753			ACOT4				TMEM171	SPR	TCAF1	
							AGO2									ZNF665	ZNF223			MIR4454			TTC8				TMEM174	SPTBN1	RAPGEF5	
							LSM1									ZNF552	ZNF224			MIR4666A			TC2N				POC5	SRD5A2	SCRN1	
							ADAMDEC1									ZNF671	ZNF225			MIR4671			SLC24A4				STARD4	SSB	KIAA0087	
							BHLHE22									ZNF613	ZNF226			MIR4427			SLC25A29				WDR36	SSFA2	ELMO1	
							MRPS28									ZNF702P	ZNF227			MIR5096			DEGS2				ACOT12	STAT1	MAGI2	
							COMMD5									ZNF606	ZNF112			MIR4742			LINC00239				SOWAHA	STAT4	TRIL	
							MRPL13									ZNF614	ZNF229			MIR5008			LINC00637				SHROOM1	STRN	POM121	
							ATAD2									FUZ	ZNF230			LINC00538			RDH12				C5orf24	SULT1C2	AP5Z1	
							ASAP1-IT1									OPA3	ELL			HLX-AS1			ADAM21P1				SREK1	ADAM17	DMTF1	
							MRPL15									RSPH6A	SYMPK			CHRM3-AS1			LINC00618				DCANP1	TACR1	DNAJB6	
							CNOT7									ZNF611	MIA			LINC00210			GSC				SLC38A9	GCFC2	ABCF2	
							CPSF1									MED25	DPF1			BLACAT1			SERPINA12				MGC32805	TFPI	MUC12	
							PURG									BCL2L12	LTBP4			LOC101927143			PRIMA1				CEP120	TGFA	ARPC1B	
							LRP12									GRWD1	TEAD2			LOC101927164			PPP1R36				SLC25A48	TIA1	ARL4A	
							RRM2B									CCDC8	CYP4F2			LOC101927478			SLC38A6				TMEM167A	TNFAIP6	NAMPT	
							CYHR1									ZNF541	PPFIA3			LOC101927532			C14orf37				MBLAC2	TNP1	AKAP9	
							ASAP1									SYT3	PLA2G4C			LOC101927604			LOC145474				TMEM161B	TNS1	RASA4	
							MTERF3									AKT1S1	RFXANK			LOC101927683			PTGR2				SRFBP1	TPO	AASS	
							PI15									ZNF528	EIF3G			LOC101927765			FAM161B				MARVELD2	TSN	SLC25A13	
							FAM135B									BRSK1	STX10			LOC101927787			LRRC74A				ARSK	TSSC1	LRRC17	
							ZC2HC1A									SNORD35B	URI1			LOC101927851			ISM2				FAM81B	TTN	POP7	
							PHF20L1									ZNF347	NAPA			LOC101929541			CEP128				CCDC112	TUBA4A	RAMP3	
							LACTB2									ZNF577	SIGLEC5			LOC101929565			TTC7B				MIER3	SUMO1	BET1	
							RMDN1									KMT5C	FCGBP			LOC101929631			FAM71D				CDC20B	UCN	IKZF1	
							ZNF706									C19orf48	AP1M1			LINC01352			TMEM229B				PAPD4	UGP2	CCL26	
							GOLGA7									ZNF587	PGLYRP1			LOC101929771			ACTN1-AS1				DCP2	VIL1	SEMA3A	
							VPS28									FIZ1	F2RL3			LOC101930114			SYNE3				LIX1	VRK2	NOD1	
							ZDHHC2									GALP	UBE2M			MIR6742			TMEM30B				ZNF366	VSNL1	FAM3C	
							HGH1									SIGLEC10	ARHGEF1			MIR7641-2			SAMD15				FAM151B	WIPF1	GPNMB	
							KCNK9									SIGLEC12	PDCD5			MIR6769B			EML5				S100Z	WNT6	COG5	
							SLC25A37									ZNF628	DYRK1B			MIR6741			LINC00638				ADAMTS19	XDH	ZNHIT1	
							THEM6									KIR3DX1	LPAR2			LOC102723727			NUDT14				SPATA24	XPO1	SEMA3C	
							UBR5									ZNF551	CRLF1			LOC102723833			LINC00521				DNAJC18	XRCC5	AGR2	
							SCARA3									ZNF616	NUMBL			LOC102723886			SERPINA11				CCDC125	ZAP70	ARPC1A	
							FAM49B									ZNF766	CYTH2			LOC103021295			PROX2				LINC01554	ZNF2	SH2B2	
							AZIN1									EXOC3L2	S1PR2			LOC103021296			LOC283575				GAPT	ZNF142	IGF2BP3	
							ATP6V1H									ZNF468	ZNF235			TGFB2-OT1			ZDHHC22				CMYA5	SLC30A3	YKT6	
							OTUD6B									ZNF160	ZNF264			SPATA17-AS1			TMED8				LVRN	PXDN	STAG3	
							SARAF									CTU1	KCNK6			DISC1-IT1			C14orf178				ANKRD31	ALMS1	ZNF273	
							CHRAC1									ZNF835	NCR1			LOC105372897			LOC283585				SERINC5	MOGS	PPP1R17	
							SNTG1									ZNF765	MED26			LOC105748977			LINC01146				LOC257396	RNF103	FGL2	
							GDAP1									NLRP12	HOMER3						FAM181A-AS1				KIAA0825	PAX8	CPSF4	
							EXOSC4									MYADM	IL27RA						SNHG10				GPR150	IL1R2	FASTK	
							PDP1									ZNF845	NAPSA						C14orf177				DTWD2	MALL	DBF4	
							CNGB3									CCDC114	GDF15						SLC25A47				NBPF22P	CXCR4	COPS6	
							LY6K									LOC93429	TECR						LINC00523				C5orf64	FZD5	KDELR2	
							KCTD9									ACPT	ZNF254						CEP170B				RNF180	SCG2	ADAP1	
							ESRP1									CGB5	GMFG						C14orf80				SREK1IP1	DYSF	ZPBP	
							WHSC1L1									CGB7	RAB3D						ADAM20P1				RGMB	FZD7	DUS4L	
							IMPAD1									LRRC4B	IER2						C14orf39				LINC00491	SDPR	NUPL2	
							TMEM70									LENG9	KLK4						CCDC85C				RFESD	NCK2	HIBADH	
							PINX1									CGB8	ZNF432						ITPK1-AS1				CHSY3	DUSP11	ZNF277	
							TRMT12									GNG8	DHX34						SNORD56B				TMEM173	CUL3	INMT	
							OXR1									BIRC8	KIAA0355						SERPINA9				FAM170A	KLF11	ABCB8	
							WDYHV1									FAM71E1	ZNF536						LINC00524				C5orf66-AS2	MAP4K3	TP53TG1	
							PIWIL2									RDH13	KMT2B						LINC00226				LOC340074	PKP4	POU6F2	
							ELP3									PTH2	KEAP1						LINC00221				LOC340090	HAT1	FKBP9	
							THAP1									ZIM3	AP1M2						VSX2				ANKRD34B	DGKD	PDAP1	
							ARMC1									SIGLEC11	UBA2						SLC35F4				MCIDAS	AGPS	CBX3	
							INTS10									CGB1	SAE1						LRRC9				ACTBL2	PRKRA	TFEC	
							CCDC25									CGB2	SUGP2						COX8C				FAM174A	STK16	LAMB4	
							UBE2W									LMTK3	TRIM28						ASPG				MTX3	SLC25A12	LMTK2	
							BRF2									LENG8	ZNF256						RAB15				CATSPER3	KLF7	POMZP3	
							LAPTM4B									KIR3DL3	DDX39A						MIR381HG				SLCO4C1	ABCB11	PAXIP1	
							RBM12B-AS1									CLDND2	ZNF443						PSMA3-AS1				TICAM2	NCOA1	KLHDC10	
							TMEM55A									ZNF816	AKAP8						TBPL2				MAST4	VAMP8	HECW1	
							SLC39A4									ZNF543	LILRB2						TOMM20L				RNF138P1	MARCO	AVL9	
							CHD7									CEACAM20	PAK4						SERPINA13P				TEX43	B3GALT1	PEG10	
							SYBU									COX6B2	B3GNT3						LINC01550				LOC389332	ADAM23	SSPO	
							INTS8									OSCAR	KLF2						RTL1				PROB1	SUCLG1	NACAD	
							INTS9									ZNF813	TMEM147						TMEM179				RGS7BP	IL18RAP	SNX13	
							CSGALNACT1									JOSD2	IFI30						SERPINA2				C5orf63	IL1RL2	NUP205	
							HR									IZUMO2	TOMM40						HEATR4				MIR9-2	IL18R1	COBL	
							PAG1									CPT1C	CARM1						FLJ22447				FLJ31104	NRP2	IQCE	
							PBK									ALDH16A1	ZNF211						PLEKHD1				LOC441081	CFLAR	DPY19L1	
							ZNF395									NTN5	CHERP						FOXN3-AS1				LOC441086	ASAP2	SUN1	
							BIN3									NLRP13	RNASEH2A						LINC00642				CRSP8P	PER2	KIAA0895	
							TEX15									NLRP8	RABAC1						DICER1-AS1				NR2F1-AS1	ST3GAL5	AHCYL2	
							GSDMC									NLRP5	TRAPPC2B						C14orf180				C5orf56	SLC5A6	NUDCD3	
							C8orf44									ZNF787	SPINT2						MIR127				GPX8	DDX18	SEC61G	
							JPH1									ZFP28	KLF1						MIR134				TIFAB	EIF2B4	TNPO3	
							C8orf4									VSIG10L	DLL3						MIR136				RGMB-AS1	CDK5R2	HYAL4	
							ENY2									C19orf84	CERS1						MIR154				LOC553103	KYNU	TSPAN12	
							CPA6									SPACA6	GIPC1						MIR203A				MIR449A	TAF1B	CLEC5A	
							SLURP1									ZNF480	POP4						MIR299				CTXN3	NAT8	MKRN1	
							SLC45A4									ZNF534	ZNF234						LINC00238				ECSCR	NMI	LSM5	
							MTUS1									ZNF578	ZNF266						CCDC88C				LOC642366	CNOT9	ZKSCAN5	
							KIAA1456									ERVV-1	ZNF274						TEX21P				TMEM232	COX7A2L	CLDN15	
							ZFAT									SMIM17	ZNF460						MIR323A				SMIM15	TMSB10	BRI3	
							CCAR2									C19orf18	PPP1R13L						MIR337				ARL14EPL	IL1RL1	TECPR1	
							ZNF250									ZNF418	CD3EAP						MIR342				LOC644285	LRRFIP1	SUMF2	
							PLEKHA2									ZNF417	RUVBL2						MIR345				LINC01184	STK17B	POT1	
							SH2D4A									ZNF548	LILRB1						MIR376C				LOC644936	ITGB1BP1	SOSTDC1	
							PRDM14									PPM1N	HCST						MIR369				CCNI2	GPR55	KBTBD2	
							SNX16									KLC3	KDELR1						MIR370				LINC00461	TRIP12	PTCD1	
							NECAB1									IGSF23	LILRB5						MIR376A1				LOC647859	GTF3C3	OSBPL3	
							PDLIM2									TMEM190	ILVBL						MIR377				GUSBP3	PPIG	CNTNAP2	
							SOX17									TMC4	SLC27A5						MIR379				GTF2H2B	NRXN1	AUTS2	
							EBF2									TPM3P9	LILRB4						MIR380				SNORA13	OTOF	HYALP1	
