cytoband	2q37.3	19q13.42	11p15.5	4q34.3	10q26.3	9p21.3	9p24.3	3q29	5q34	3p21.1	12p13.1	13q34	3p21.31	14q23.2	1q44	17q25.3	19q13.31	18q23	5p15.33	6q22.33	2p25.3	9p23	3q13.31	11q25	12q12	1p36.32	13q13.1	6q27	13q14.3	22q13.31	3p12.3	13q31.1	14q31.3	4q13.3	7p22.2	11p11.2	6q25.3	12q24.11	6p25.3	
		MIR6805			BTBD16				SOX30					ZFYVE1	IRF2BP2		GEMIN7		CTD-3080P12.3				GRAMD1C		WNT1				HNRNPA1L2	GTSE1-AS1	LOC105377143	CAB39L	MED6	CSN1S2BP			CLDN20	METAP2		
		MIR6803			FAM24A				MGAT4B					EXD2	COA6		OPA3		LOC101929034				ROPN1		WNT10B				ST13P4	WBP2NL	LOC105377146	DIAPH3	FBLN5	LOC100507388			NOX3	SDS		
		MIR7975			PSTK				B4GALT7					VRTN	C1orf229		RSPH6A		CTD-2194D22.4				SIDT1		MAP3K12				DGKH	SERHL2	LOC105377162	CCDC70	BATF	LOC101927237			TFB1M	RAB35		
		LOC105372476			MMP21				SYNPO					SYNJ2BP	OR2M1P		TEX101		LOC101929153				TRMT10C		TUBA1A				CCDC122	RNU12	SNORA95	SETDB2	SIVA1	LOC105377267			AIG1	KERA		
					PDZD8				RNF44					SLC39A9	OR11L1		CCDC8		CTD-2297D10.2				SLC41A3		KMT2D				COMMD6	ATP5L2		SLITRK6	NPC2				SNX9	PRDM4		
					CTAGE7P				ABLIM3					FLVCR2	OR2L8		CNFN		LOC101929261				SLC35A5		AAAS				ERICH6B	LOC284930		EBPL	AHSA1				VTA1	CIT		
					CLRN3				HMGXB3					GPATCH2L	OR2AK2		EXOC3L2		LOC101929284				TMEM45A		SOAT2				SPERT	LOC284933		TMTC4	CYP46A1				MPC1	PWP1		
					PNLIPRP3				TBC1D9B					YLPM1	OR2L3		LOC93429		CTD-2201E9.1				IFT57		NPFF				DLEU7	RPL23AP82		ABHD13	PAPOLA				HECA	FICD		
					SFXN4				ATP10B					CCDC177	OR2M2		GNG8		LOC101929412				DPPA4		ENDOU				FAM124A	LINC00634		ZIC5	ACOT2				IL20RA	NUDT4		
					CPXM2				N4BP3					ADCK1	OR2T33		ZNF526		LOC101929454				TMEM39A		TIMELESS				TPTE2P3	C22orf34		GGACT	TMED10				UNC93A	RPH3A		
					TRUB1				FAF2					TMEM63C	OR2M7		CEACAM20		CTD-2350J17.1				ABHD10		KRT75				LRRC63	CHKB-CPT1B		TEX30	PTPN21				MTRF1L	FBXO21		
					VTI1A				WWC1					RHOJ	OR2G6		IRGQ		LOC101929505				IFT122		SCAF11				CTAGE10P	OGFRP1		SLITRK1	C14orf1				AHI1	UHRF1BP1L		
					C10orf82				FBXW11					GALNT16	OR2T2		ZNF428		LOC101929524				TBC1D23		DDX23				SLC25A30	LINC00207		KCTD12	VASH1				RMND1	CUX2		
					CACUL1				LARP1					PLEKHH1	OR2T5		PPM1N		MIR6131				CFAP44		SLC4A8				OR7E156P	MIRLET7BHG		ARL11	SNW1				PHF10	KIAA1033		
					C10orf91				ZNF346					TRMT5	OR14I1		KLC3		MIR6075				EAF2		ESPL1				SIAH3	LINC00898		WDFY2	PCNX1				VNN3	MED13L		
					PWWP2B				GEMIN5					ZNF410	OR2T27		IGSF23		HRAT5				CLDND1		DAZAP2				KCNRG	IL17REL		METTL21EP	TTLL5				ERMARD	SIRT4		
					EMX2OS				CCDC69					NGB	OR2T35		DACT3		LINC01377				MUC13		TESPA1				LINC00282	MIRLET7A3		SLAIN1	RCOR1				AGPAT4	ISCU		
					PLPP4				TSPAN17					RBM25	MAP1LC3C		SIX5		LINC01017				HMCES		PAN2				LINC00550	MIRLET7B		PRR20A	PACS2				TULP4	CORO1C		
					PAOX				OR2V1					VIPAS39	BECN2		IGFL2		LOC105374620				NIT2		TROAP				LINC00347	MIR33A		RNF113B	ANGEL1				HYMAI	MGAT4C		
					FAM24B				HAVCR1					SMOC1	OR2W5		ZNF296		LOC105374631				POGLUT1		YAF2				NEK5	LINC00229		LINC00410	PPP1R13B				ADGRG6	FBXW8		
					EBF3				CYFIP2					IRF2BPL	OR13G1		DEDD2		SNORD141A				BBX		RNF41				KCTD4	DENND6B		LINC00343	DICER1				ARFGEF3	HSPB8		
					CASC2				PRELID1					MPP5	MT1HL1		CADM4						PCNP		GDF11				SERP2	PIM3		HNRNPA1L2	TTC9				NHSL1	RNU4-2		
					TCERG1L				IL17B					PCNX4	RPS7P5		PRR19						SENP7		CNPY2				TUSC8	SHISA8		ST13P4	FLRT2				PLEKHG1	RNU4-1		
					HSPA12A				MAT2B					GPR135	LYPD8		TMEM145						ISY1		TUBA1B				MIR15A	ODF3B		GPR180	SIPA1L1				ARID1B	UTP20		
					FUOM				MRPL22					ZC2HC1C	SNORA14B		CXCL17						HEG1		RAPGEF3				MIR16-1	PRR5-ARHGAP8		COMMD6	DCAF4				TMEM181	MRPL42		
					JAKMIP3				TLX3					C14orf169	LINC01347		LOC284344						KIAA1257		MCRS1				ALG11	TBC1D22A-AS1		CLYBL	KIF26A				ZBTB2	IFT81		
					STK32C				KCNIP1					BBOF1	LINC01348		ZNF575						ARHGAP31		ATF7				MZT1	SYCE3		METTL21C	TMEM251				ABRACL	CCDC59		
					LOC283038				ZNF354C					SGPP1	LOC100130331		LYPD5						CCDC191		GALNT6				TSC22D1-AS1	LOC730668		DLEU7	TCL6				PBOV1	FAM216A		
					WDR11-AS1				RPL26L1					SLIRP	LGALS8-AS1		ZNF283						KIAA1524		COPZ1				LINC00371	LINC01310		FAM124A	MLH3				PERP	HCFC2		
					KCNK18				C5orf45					DNAL1	MIR1537		PPP1R37						EEFSEC		FAIM2				SERPINE3	NDUFA6-AS1		TPTE2P3	FOXN3-AS2				SMOC2	SYCP3		
					VWA2				DCTN4					RPS6KL1	LINC00184		NKPD1						POPDC2		DDN				CTAGE11P	CHKB-AS1		CTAGE10P	GPR132				ALDH8A1	CHST11		
					NANOS1				DDX41					SYT16	MIR3123		MYPOP						NFKBIZ		ESYT1				SNORA31	LINC00899		NALCN	POMT2				ULBP3	CCDC53		
					HMX3				NOP16					CIPC	MIR3124		NANOS2						ATG3		TNS2				PRR20B	MIR1249		HS6ST3	COQ6				OR2A4	CEP83		
					NHLRC2				HMP19					PAPLN	MIR3916		ZNF404						CCDC14		KCNH3				PRR20C	MIR3201		DAOA	FCF1				ARMT1	GPN3		
					CCDC172				UIMC1					CHURC1	LINC01354		ZNF284						OR5H6		CBX5				PRR20D	MIR3619		DAOA-AS1	SERPINA10				ZDHHC14	GLTP		
					DMBT1P1				RAB24					ELMSAN1	LINC01132		ZNF233						OR5H2		ANP32D				LMO7DN	MIR3667		FGF14-IT1	GLRX5				ADGB	MAPKAPK5-AS1		
					ENO4				NEURL1B					LIN52	CHRM3-AS2		IGFL1						ZXDC		SMUG1				ACOD1	LOC100506679		FGF14-AS2	COX16				FRMD1	TAOK3		
					ARMS2				FAM193B					NEK9	ZNF670-ZNF695		CEACAM22P						ZBED2		PRPF40B				LOC100129307	NUP50-AS1		LINC00551	EVL				AGPAT4-IT1	POP5		
					TEX36				TMED9					IFT43	MIR4428		CEACAM16						CEP97		METTL7A				LINC00462	LINC01589		LINC00567	GSKIP				LINC00574	ANAPC7		
					LINC00959				CDHR2					WDR89	MIR4753		BLOC1S3						HSPBAP1		LETMD1				TPT1-AS1	MIR4763		LINC00346	CINP				CCDC170	TRIAP1		
					GUCY2GP				SPDL1					L3HYPDH	MIR4677		BHMG1						C3orf52		ZNF385A				MIR1297	MIR4762		OR7E156P	ASB2				MYCT1	NT5DC3		
					NKX1-2				THG1L					GPHB5	MIR4671		IGFL3						QTRT2		OR7E47P				MIR759	MIR378I		KCNRG	ZFYVE1				ULBP2	VPS29		
					C10orf120				GALNT10					NOXRED1	MIR5096		PINLYP						EFCC1		GLS2				MIR3169	MIR4535		LINC00282	CPSF2				ULBP1	TPCN1		
					LOC399815				NHP2					JDP2	CHRM3-AS1		LOC400706						NAA50		RND1				MIR3665	EFCAB6-AS1		UBAC2	KCNK10				LPAL2	SSH1		
					METTL10				RBM22					ISCA2	LOC101927765		PSG8						ABTB1		ORMDL2				MIR3613	LOC101927447		LINC00550	CDCA4				PPP1R14C	VSIG10		
					FLJ37035				RNF130					ACOT4	LOC101927787		MIR330						OR5AC2		RACGAP1				EDNRB-AS1	LOC101927526		LINC00347	NRDE2				SF3B5	TESC		
					FOXI2				NMUR2					RDH12	LOC101927851		IGFL4						PARP9		SENP1				RBM26-AS1	LL22NC03-75H12.2		NEK5	ATG2B				TAAR8	PARPBP		
					LINC01164				KIAA1191					ADAM21P1	LOC101928068		LOC645553						ARL6		PDZRN4				INTS6-AS1	MIR6821		MIR15A	UBR7				RSPH3	SLC6A15		
					LINC01168				ERGIC1					PPP1R36	LOC101928226		PSG10P						CHCHD6		DHH				LINC00458	LINC01315		MIR16-1	EXD2				TTLL2	RIC8B		
					SPRNP1				CLK4					SLC38A6	SNORA100		PHLDB3						CMSS1		PLEKHA8P1				CPB2-AS1	LOC105373051		MIR17	VRTN				FBXO30	APPL2		
					LINC01561				TENM2					LOC145474			MIR642A						SLC12A8		IRAK4				MIR4704	LOC105373100		MIR18A	SYNJ2BP				FAM120B	DRAM1		
					FAM45A				CNOT6					PTGR2			CCDC61						RETNLB		FKBP11				MIR548X2			MIR19A	SLC39A9				FNDC1	SVOP		
					FRG2B				ZBED8					FAM161B			MIR769						CCDC54		KRT76				MIR4703			MIR19B1	MEG3				LRP11	STAB2		
					SPRN				NSD1					LRRC74A			SRRM5						MINA		CSAD				MIR5007			MIR20A	FLVCR2				LTV1	VEZT		
					MIR202				GMCL1P1					ISM2			EML2-AS1						ADGRG7		BIN2				MIR5693			MIR92A1	GPATCH2L				SERAC1	GOLGA2P5		
					NPS				RMND5B					FAM71D			LOC100289650						DIRC2		LIMA1				LINC00564			MIR17HG	PPP4R3A				REPS1	SCYL2		
					SCART1				RANBP17					TMEM229B			LOC100379224						MAATS1		PPHLN1				LINC00562			ALG11	BTBD7				PPIL4	POLR3B		
					SNORA19				PCYOX1L					ACTN1-AS1			MIR4323						PHLDB2		IL23A				LINC00558			MZT1	TDP1				LINC00473	FGD6		
					FAM196A				CCNJL					TMEM30B			MIR642B						LOC90246		HDAC7				LINC00563			MIR4500HG	ZNF839				SYTL3	WSB2		
					ADGRA1-AS1				SH3TC2					SAMD15			LOC100505585						EFCAB12		GPR84				LINC00441			CCDC168	SPATA7				MTFR2	NDUFA12		
					ATE1-AS1				PANK3					PROX2			LOC100505622						BOC		SLC38A2				MED4-AS1			LINC00371	YLPM1				SFT2D1	ANKS1B		
					TEX36-AS1				SAP30L					LOC283575			LOC100505715						NXPE3		PRR13				PCDH9-AS2			SERPINE3	KCNK13				GINM1	CHPT1		
					DUX4				BTNL8					ZDHHC22			PPP5D1						TXNRD3		KANSL2				DLEU7-AS1			CTAGE11P	CCDC177				IL22RA2	TMCC3		
					MIR2110				DOK3					TMED8			DACT3-AS1						OSBPL11		SLC38A4				HTR2A-AS1			MIR622	C14orf132				SLC18B1	NTN4		
					MIR378C				ZFP2					C14orf178			APOC4-APOC2						LRRC58		KIF21A				PCDH9-AS3			MIR623	DDX24				TAGAP	TRPV4		
					MIR4297				RUFY1					ADAM20P1			MIR4531						CCDC58		SLC48A1				PCDH9-AS4			LINC00460	ADCK1				ADAT2	LHX5		
					MIR4295				CPEB4					C14orf39			LIPE-AS1						ZPLD1		LMBR1L				LINC00331			FAM155A	TMEM63C				TAAR9	SUDS3		
					MIR4296				PRR7					SNORD56B			LOC101928063						CD200R1		SMAGP				ENOX1-AS2			PRR20B	GALNT16				TAAR1	ACTR6		
					MIR3941				OR4F16					VSX2			LOC101930071						CRYBG3		DIP2B				LINC00358			PRR20C	UNC79				STXBP5	NUP37		
					MIR3663				TRIM7					LRRC9			MIR6088						DCBLD2		CALCOCO1				LINC00364			PRR20D	BEGAIN				PACRG	DDX54		
					MIR3944				TIGD6					RAB15			MIR8077						TPRA1		NCKAP5L				LINC00381			LMO7DN	PPP4R4				RAET1E	GNPTAB		
					LINC00867				MXD3					TOMM20L			MIR8085						UROC1		NEUROD4				LINC00392			ACOD1	ZNF410				LOC153910	TCTN1		
					FAM24B-CUZD1				THOC3					HEATR4			LOC105372419						FAM172BP		C12orf10				LINC00395			LOC100129307	NGB				ZC2HC1B	ACSS3		
					MIR4483				TRIM52					FLJ22447									RPL32P3		ATG101				LINC00400			COL4A2-AS2	RBM25				CNKSR3	C12orf49		
					MIR4682				HAVCR2					PLEKHD1									H1FOO		IKZF4				LINC00434			FKSG29	VIPAS39				RAET1L	NAA25		
					MIR4484				PHYKPL					LINC00238									DTX3L		SPATS2				LINC00446			DNAJC3-AS1	SMOC1				LINC01312	SLC8B1		
					MIR4681				SMIM3					TEX21P									LINC00635		TMEM106C				LINC00448			UBAC2-AS1	MOAP1				SLC2A12	CEP290		
					LINC00601				UNC5A					ACOT1									DPPA2		NABP2				DIAPH3-AS1			MIR1297	DIO3OS				LINC01010	MTERF2		
					FANK1-AS1				TRIM41					ACOT6									CCDC80		RPAP3				DIAPH3-AS2			MIR1267	IRF2BPL				PNLDC1	ACAD10		
					LINC01163				BOD1					FUT8-AS1									BTLA		DNAJC22				NDFIP2-AS1			MIR759	INF2				LOC154449	GLT8D2		
					TCERG1L-AS1				COL23A1					LINC00643									ROPN1B		ADAMTS20				MYCBP2-AS1			MIR4306	BCL11B				OLIG3	KCTD10		
					LINC01166				TIMD4					LOC646548									C3orf22		SLC38A1				RNF219-AS1			MIR3170	OTUB2				TXLNB	USP44		
					MIR202HG				ZNF300					SYNDIG1L									SPICE1		CSRNP2				RNASEH2B-AS1			MIR3169	ZFYVE21				DACT2	SLC41A2		
					LOC101927692				MYOZ3					MIR625									LOC152225		PUS7L				SLC25A30-AS1			MIR3665	MEG8				C6orf118	LRRIQ1		
					MIR3663HG				UBTD2					CCDC175									IGSF11		RACGAP1P				SMIM2-IT1			MIR3613	WDR25				OSTCP1	METTL25		
					FAM53B-AS1				SCGB3A1					LINC01220									C3orf30		FAM186B				LINC00348			EDNRB-AS1	LINC00341				WDR27	TCHP		
					EDRF1-AS1				SFXN1					LOC100128233									PARP15		TMEM117				MRPS31P5			RBM26-AS1	ZC2HC1C				SHPRH	COQ5		
					MIR6715B				GPRIN1					LOC100289511									DNAJB8		PYM1				LINC01080			INTS6-AS1	C14orf169				LINC00326	HVCN1		
					MIR6715A				PWWP2A					MIR1260A									GPR156		SARNP				LOC101926897			LINC00458	CLMN				PHACTR2-AS1	SRRM4		
					LOC102724589				C1QTNF2					MIR548H1									CHST13		TUBA1C				LINC00378			SOX21-AS1	CATSPERB				PACRG-AS1	UNC119B		
					LOC103344931				ZNF354B					LOC100506321									KBTBD12		ZC3H10				LOC101926951			BIVM-ERCC5	ZC3H14				PRR18	USP30		
					LINC01167				C5orf47					LOC100506476									ALG1L		ALG10				LMO7-AS1			MIR2681	RIN3				LOC285804	RNFT2		
					AS-PTPRE				PPARGC1B					LOC100506498									GABRR3		SPRYD3				LINC01069			MIR4501	C14orf159				TAAR6	FAM222A		
					SNORA87				C5orf58					LOC100506603									HACD2		MFSD5				LINC00382			MIR4500	BBOF1				SLC35D3	RITA1		
									OR2Y1					SYNJ2BP-COX16									TIGIT		COX14				SMIM2-AS1			MIR4704	TMEM121				ZC3H12D	FAM222A-AS1		
									AFAP1L1					CHURC1-FNTB									USF3		DNAJC14				LOC101929259			MIR4705	AMN				ECT2L	ANKRD13A		
									GRPEL2					MIR4505									ZDHHC23		ZCRB1				LINC01198			MIR548X2	SLIRP				NUP43	TMEM116		
									LSM11					MIR4708									NUP210P1		CCDC65				LOC101929657			MIR4703	DNAL1				RAET1G	UBE3B		
									ZNF300P1					MIR4709									PLCXD2		LACRT				MIR8079			MIR5007	RPS6KL1				HMGA1P7	TMEM263		
									NUDCD2					MIR4706									GCSAM		FMNL3				LINC01065			MIR5693	IFI27L2				SUMO4	C12orf29		
									UBLCP1					HIF1A-AS1									TUSC7		CERS5				LOC102723968			MIR548AS	SETD3				C6orf120	BICDL1		
									SLC36A2					HIF1A-AS2									LINC00636		PCED1B				LINC01038			DOCK9-AS2	APOPT1				SAMD5	SDSL		
									CREBRF					MIR5694									EPHA6		COQ10A				LOC103191607			LINC00554	HHIPL1				IYD	IQCD		
									BTNL9					MIR5586									DNAJB8-AS1		KRT71				LINC01050			LINC00557	GON7				DKFZp451B082	DEPDC4		
									PPP1R2P3					LOC100996664									RABL3		LARP4				LINC00383			LINC00564	STON2				TCP10L2	CCDC38		
									FAM71B					LOC101927780									C3orf56		SLC2A13				DLEU1-AS1			LINC00558	CIPC				LOC401286	C12orf45		
									RNF145					LOC101928075									SLC9C1		DCD				LINC00377			LINC00560	PAPLN				LINC00242	NEDD1		
									HIGD2A					LOC101928123									PDCL3P4		MUCL1				LINC01068			GPC5-AS1	FAM181A				LINC01624	SLC9A7P1		
									FAM153B					LOC101928143									ILDR1		LRRK2				LINC01055			GPC5-AS2	BTBD6				GTF2H5	IKBIP		
									LOC202181					LINC00644									RAB43		FAM186A				LINC01075			GPC6-AS1	EFCAB11				FLJ46906	ASCL4		
									SLC36A1					MIR7641-2									H1FX-AS1		OR2AP1				LMO7DN-IT1			GPC6-AS2	ELMSAN1				LINC00602	BTBD11		
									EIF4E1B					MIR7843									DUBR		OR10P1				LINC00428			CLYBL-AS2	LIN52				LOC441178	SPIC		
									LOC255187					MIR7855									TMPRSS7		RHEBL1				LINC00376			PCDH9-AS2	NEK9				SNORD101	ANO4		
									RASGEF1C					LINC01500									CD200R1L		C12orf54				SCEL-AS1			DLEU7-AS1	EXOC3L4				SNORD100	ALKBH2		
									LINC01366					LOC102723809									LNP1		ZNF641				LOC105370177			FGF14-AS1	WDR20				SNORA33	FOXN4		
									EFCAB9					LOC102724153									CFAP100		OR10AD1				LINC00390			PCDH9-AS3	IFT43				CTAGE9	SPPL3		
									SH3PXD2B					LOC102724190									FLJ22763		SP7				LOC105370203			PCDH9-AS4	AHNAK2				LINC01625	AMDHD1		
									LOC285593					LINC01269									LINC01205		GTSF1				LINC01052			DOCK9-AS1	TRMT61A				RPS18P9	TSPAN19		
									FAM153A					SALRNA1									OR5K2		OR10A7				LINC00374			LINC00331	TDRD9				LOC645967	SOCS2-AS1		
									ARL10					LINC01629									OR5H14		KRT74				LINC01078			LINC00333	ANKRD9				RAET1K	CEP83-AS1		
									LOC285626														OR5H15		ASB8				SETDB2-PHF11			LINC00351	AK7				AFDN-AS1	CFAP54		
									LOC285627														OR5K3		MYL6B							LINC00353	IFI27L1				SNORA20	RAD9B		
									LOC285629														OR5K4		KRT72							LINC00358	C14orf79				SNORA29	FAM109A		
									SLC36A3														MIR198		PRICKLE1							LINC00364	PLD4				MIR548A2	LINC00934		
									KIF4B														ARGFX		BCDIN3D							LINC00379	ADSSL1				KATNBL1P6	KRT19P2		
									OR2V2														TMEM30CP		ALG10B							LINC00381	NOXRED1				STXBP5-AS1	TMTC2		
									ZNF454														TXNRD3NB		CPNE8							LINC00392	JDP2				TMEM242	TMTC3		
									C5orf60														LOC653712		KRT80							LINC00395	ISCA2				LOC729603	C12orf50		
									PRR7-AS1														LINC00488		GRASP							LINC00411	ACOT4				PACRG-AS3	ALDH1L2		
									ARSI														SNORA7B		KRT78							LINC00433	TTC8				HGC6.3	SLC5A8		
									PFN3														MIR567		METTL7B							LINC00434	TC2N				UST-AS1	PPTC7		
									ZNF879														MIR568		ANO6							LINC00440	SLC24A4				LOC100129518	CCDC63		
									IRGM														ZBTB11-AS1		ARID2							LINC00443	SLC25A29				LOC100130476	CCDC60		
									FBLL1														FAM86JP		OR6C74							LINC00446	DEGS2				C6orf99	PLBD2		
									NIPAL4														LOC100129550		OR6C3							LINC00448	LINC00239				LOC100131532	FAM71C		
									SIMC1														ZBTB20-AS1		LINC00935							LINC00559	LINC00637				LINC00271	RMST		
									SAP30L-AS1														MTHFD2P1		LOC283332							CLDN10-AS1	ADAM21P1				LOC100132735	CCER1		
									ARHGEF37														MIR548I1		LOC283335							DIAPH3-AS1	LINC00618				AIRN	SLC17A8		
									MIR103A1														LINC00882		ZNF740							DIAPH3-AS2	GSC				LOC100289495	TTC41P		
									MIR143														MIR544B		OR6C6							COL4A2-AS1	SERPINA12				NHEG1	TCP11L2		
									MIR145														MIR3921		ANKRD52							NDFIP2-AS1	PRIMA1				MIR1913	TBX5-AS1		
									MIR146A														PVRL3-AS1		SLC39A5							MYCBP2-AS1	LOC145474				MIR1202	LINC01619		
									MIR218-2														LINC01279		SPRYD4							RNF219-AS1	PTGR2				MIR1273C	POC1B		
									FNDC9														LINC00901		C12orf80							ARHGEF7-AS2	FAM161B				MIR3145	OTOGL		
									FLJ16171														IGSF11-AS1		LINC00592							RNASEH2B-AS1	LRRC74A				MIR3918	GAS2L3		
									MIR340														MYLK-AS1		C12orf40							FAM155A-IT1	ISM2				MIR3939	LINC00485		
									MIR378A														CCDC37-AS1		MUC19							PCCA-AS1	CEP128				MIR3668	MYO1H		
									SNORD95														ISY1-RAB43		GXYLT1							NALCN-AS1	TTC7B				MIR3662	HECTD4		
									SNORD96A														MIR4445		TMPRSS12							LINC00348	ACTN1-AS1				MIR3692	KSR2		
									LOC643201														MIR4796		KRT6C							MYO16-AS1	SYNE3				SYNE1-AS1	GATC		
									ZFP62														MIR548AB		KRT73							MRPS31P5	SAMD15				KIF25-AS1	HNF1A-AS1		
									LOC644762														MIR4446		C1QL4							LINC00359	EML5				LINC01013	MMAB		
									SMIM23														MIR4447		KRT79							LINC00676	LINC00638				TARID	LINC00936		
									CBY3														MIR5002		SYT10							LINC01080	NUDT14				LOC100507406	TMEM119		
									FAM153C														MIR5092		ANKRD33							LOC101926897	LINC00521				GVQW2	C12orf74		
									SNORA74B														MIR5682		OR6C2							LINC00378	SERPINA11				LOC100507477	PTPRQ		
									MIR584														ALDH1L1-AS2		OR6C4							LOC101926951	PROX2				LINC01277	C12orf42		
									MIR585														MYLK-AS2		H1FNT							LMO7-AS1	LOC283575				LOC100507557	C12orf75		
									LOC728095														CFAP44-AS1		OR8S1							LINC01069	ZDHHC22				CAHM	CFAP73		
									CARMN														RUVBL1-AS1		AMIGO2							LINC00382	TMED8				MIR4466	TMEM233		
									LOC728554														PLCXD2-AS1		KRT77							LINC01049	C14orf178				MIR4465	MKRN9P		
									AACSP1														ZBTB20-AS4		CCDC184							LOC101927248	LOC283585				MIR548AJ1	C12orf76		
									LINC00847														B4GALT4-AS1		OR6C1							LOC101927284	LINC01146				MIR4459	MIR135A2		
									OR4F29														ALDH1L1-AS1		OR6C75							LOC101927437	FAM181A-AS1				MIR4644	LOC414300		
									FAM196B														ST3GAL6-AS1		OR6C76							CLYBL-AS1	SNHG10				MIR548H5	LINC00615		
									LOC100132062														ARHGAP31-AS1		OR6C70							LINC00368	C14orf177				RAET1E-AS1	PLEKHG7		
									C5orf52														LSAMP-AS1		LINC00938							LOC101929657	SLC25A47				RPS6KA2-AS1	MIR331		
									LOC100268168														LOC101926968		LOC400043							LINC00380	LINC00523				SYNJ2-IT1	EID3		
									LOC100288254														LOC101926983		FIGNL2							LINC00397	CEP170B				RPS6KA2-IT1	CLLU1OS		
									MIR1229														LOC101927056		OR6C65							MIR8073	C14orf80				EZR-AS1	CLLU1		
									MIR1294														LOC101927123		OR6C68							LINC01065	ADAM20P1				LOC101928231	MIR492		
									MIR1271														LINC01471		MIR196A2							LOC102723968	CCDC85C				LOC101928304	MAP1LC3B2		
									MIR103B1														GATA2-AS1		DBX2							LINC01038	ITPK1-AS1				LOC101928429	LOC643339		
									MIR1303														HP09053		FLJ12825							LINC01232	SNORD56B				LOC101928461	LOC643711		
									MIR3142														LOC101929411		TMEM198B							LOC103191607	SERPINA9				LOC101928661	LOC643770		
									MIR3141														LOC101929579		OR9K2							LINC00456	LINC00524				LOC101929122	SNORA53		
									MIR4281														LOC101929607		MIR148B							LINC00383	LINC00226				PACRG-AS2	MIR617		
									MIR3912														LINC01215		HIGD1C							DLEU1-AS1	LINC00221				LOC101929297	MIR618		
									LINC01187														LOC101929694		GLYCAM1							LINC00377	VSX2				LOC101929420	MIR619		
									LOC100507387														LOC101929717		SNORA2A							LINC01068	COX8C				LOC101929460	MIR620		
									TRIM52-AS1														LOC101929754		SNORA2B							LINC01075	ASPG				LINC01615	LOC728084		
									MIR4634														MIR6083		SNORA2C							LINC00363	MIR381HG				LOC101929504	C12orf73		
									MIR378H														MIR6826		MIR615							LINC00399	SERPINA13P				LOC101929523	LOC728739		
									MIR4638														MIR7110		HOTAIR							LMO7DN-IT1	LINC01550				MIR7161	TMPO-AS1		
									MIR378E														MIR7976		KRT73-AS1							LINC01309	RTL1				MIR7641-2	LINC01405		
									LOC100652758														MIR8060		PCED1B-AS1							LINC00431	TMEM179				LOC102723649	USP30-AS1		
									MIR5003														MIR6825		LOC100240734							LINC00375	SERPINA2				LOC102723831	PGAM1P5		
									HEIH														MIR8076		LOC100240735							LINC00396	HEATR4				LOC102724053	LINC00173		
									LOC100996385														LOC102723582		BCDIN3D-AS1							LINC01039	PLEKHD1				LOC102724152	LOC100287944		
									LOC100996419														ZBTB20-AS3		LOC100288798							LINC00376	FOXN3-AS1				LOC102724357	MIR1827		
									CTB-113P19.1														LOC105374060		MIR1293							SCEL-AS1	LINC00642				LOC102724511	MIR1302-1		
									CTB-12O2.1																MIR1291							LINC01052	DICER1-AS1				LOC103352541	MIR1178		
									LINC01470																LOC100335030							LOC105370306	C14orf180				LOC105378047	MIR1251		
									LOC101927697																LOC100506125							LINC01040	MIR127				LOC105378052	MIR4303		
									LOC101927740																BLOC1S1-RDH5							LOC105370333	MIR134				LOC105378068	MIR3685		
									LOC101927766																MIR4701							LINC01047	MIR136				LOC105378098	MIR3652		
									HMMR-AS1																MIR3198-2							LINC00374	MIR154				MEAT6	MIR3922		
									LOC101927835																MIR4494							LINC00430	MIR203A				LOC105378123	MIR3657		
									CTB-178M22.2																MIR4698							LINC01078	MIR299				LOC105378127	LOC100505978		
									LOC101927908																LOC100652999							LINC00449	CCDC88C				LOC105378137	LINC01234		
									LOC101927969																HOXC-AS1							SNORA107	MIR323A				LOC105378146	LOC100506551		
									CTD-2270F17.1																HOXC-AS2							SETDB2-PHF11	MIR337				LUADT1	PXN-AS1		
									LOC101928093																HOXC-AS3								MIR342				SNORA98	NRAV		
									LINC01484																HOXC13-AS								MIR345					POC1B-GALNT4		
									LINC01485																LOC101927038								MIR376C					MIR4699		
									LINC01411																LOC101927058								MIR369					MIR4498		
									LOC101928445																LOC101927267								MIR370					MIR4496		
									CTC-338M12.4																LOC101927292								MIR376A1					MIR4495		
									MIR6499																LOC101927318								MIR377					MIR4472-2		
									MIR8056																PCBP2-OT1								MIR379					MIR4700		
									MIR8089																CISTR								MIR380					MIR4497		
									LOC102546298																MIR6757								MIR381					MIR5700		
									LOC102546299																MIR6505								MIR382					LINC01486		
									CTB-7E3.1																MIR7851								MIR433					TESC-AS1		
									LINC01574																LOC102724050								MIR431					LINC01490		
									LOC102577426																LOC105369738								MIR329-1					LOC101928449		
									LOC102724404																LOC105369739								MIR329-2					LOC101928617		
									LINC01202																LOC105369747								MIR323B					LOC101928731		
									LOC105377682																LOC105369781								MIR409					LOC101928937		
									LOC105377716																LOC105369971								MIR412					LOC101929058		
									LOC105377763																SNORD133								MIR410					LOC101929084		
									GRPEL2-AS1																SNORA105C								MIR376B					CASC18		
									MIR3142HG																								MIR485					LOC101929162		
																																	MIR493					MIR6760		
																																	MIR432					MIR6761		
																																	MIR494					MIR6762		
																																	MIR495					MIR6861		
																																	MIR496					MIR7641-2		
																																	MIR487A					MIR7844		
																																	ACOT1					MIR7106		
